作品编号,作品名称,BGM中文标题,BGM日文标题,角色,网易云id
TH06,东方红魔乡,妖魔夜行,妖魔夜行,露米娅,22636719
TH06,东方红魔乡,Lunate Elf,ルーネイトエルフ,大妖精,22636721
TH06,东方红魔乡,活泼的纯情小姑娘,おてんば恋娘,琪露诺,22636718
TH06,东方红魔乡,上海红茶馆 ～ Chinese Tea,上海红茶馆　~ Chinese Tea,红美铃,22636730
TH06,东方红魔乡,明治十七年的上海爱丽丝,明治十七年の上海アリス,红美铃,22636722
TH06,东方红魔乡,巴瓦鲁魔法图书馆,ヴワル魔法図書館,小恶魔,22636724
TH06,东方红魔乡,Locked Girl ～ 少女密室,ラクトガール ～ 少女密室,帕秋莉·诺蕾姬,22636720
TH06,东方红魔乡,女仆与血之怀表,メイドと血の懐中時計,十六夜咲夜,22636732
TH06,东方红魔乡,月时计 ～ Luna Dial,月時計 ～ ルナ・ダイアル,十六夜咲夜,22636725
TH06,东方红魔乡,献给已逝公主的七重奏,亡き王女の為のセプテット,蕾米莉亚·斯卡蕾特,22636723
TH06,东方红魔乡,U.N.OWEN就是她吗？,U.N.オーエンは彼女なのか？,芙兰朵露·斯卡蕾特,22636729
TH07,东方妖妖梦,Crystallize Silver,クリスタライズシルバー,蕾蒂·霍瓦特洛克,22636707
TH07,东方妖妖梦,凋叶棕（withered leaf）,ティアオイエツォン(withered leaf),橙,22636702
TH07,东方妖妖梦,布加勒斯特的人偶师,ブクレシュティの人形师,爱丽丝·玛格特洛依德,22636698
TH07,东方妖妖梦,人偶裁判 ～ 玩弄人形的少女,人形裁判 ～ 人の形弄びし少女,爱丽丝·玛格特洛依德,22636711
TH07,东方妖妖梦,天空的花都,天空の花の都,莉莉白,22636703
TH07,东方妖妖梦,幽灵乐团 ～ Phantom Ensemble,幽霊楽団 ～ Phantom Ensemble,普莉兹姆利巴三姐妹,22636705
TH07,东方妖妖梦,东方妖妖梦 ～ Ancient Temple,东方妖々梦 ~ Ancient Temple,魂魄妖梦,22636701
TH07,东方妖妖梦,广有射怪鸟事 ～ Till When?,広有射怪鳥事 ～ Till When？,魂魄妖梦,22636714
TH07,东方妖妖梦,幽雅地绽放吧、墨染的樱花 ～ Border of Life,幽雅に咲かせ、墨染の桜 ～ Border of Life,西行寺幽幽子,22636709
TH07,东方妖妖梦,Border of Life,ボーダーオブライフ,西行寺幽幽子,22636704
TH07,东方妖妖梦,少女幻葬 ～ Necro-Fantasy,少女幻葬 ～ Necro-Fantasy,八云蓝,22636710
TH07,东方妖妖梦,Necro-Fantasia,ネクロファンタジア,八云紫,22636708
TH07.5,东方萃梦想,御伽之国的鬼岛 ～ Missing Power,御伽の国の鬼が島 ～ Missing Power,伊吹萃香,22766006
TH08,东方永夜抄,蠢蠢的秋月 ～ Mooned Insect,蠢々秋月 ～ Mooned Insect,莉格露·奈特巴格,22636686
TH08,东方永夜抄,已经只能听见歌声了,もう歌しか聞こえない,米斯蒂娅·萝蕾拉,22636681
TH08,东方永夜抄,Plain Asia,プレインエイジア,上白泽慧音,22636690
TH08,东方永夜抄,少女绮想曲 ～ Dream Battle,少女綺想曲 ～ Dream Battle,博丽灵梦,22636684
TH08,东方永夜抄,恋色Master spark,恋色マスタースパーク,雾雨魔理沙,22636680
TH08,东方永夜抄,灰姑娘的笼子 ～ Kagome-Kagome,シンデレラケージ ～ Kagome-Kagome,因幡帝,22636693
TH08,东方永夜抄,狂气之瞳 ～ Invisible Full Moon,狂気の瞳 ～ Invisible Full Moon,铃仙·优昙华院·因幡,22636685
TH08,东方永夜抄,千年幻想乡 ～ History of the Moon,千年幻想郷 ～ History of the Moon,八意永琳,22636683
TH08,东方永夜抄,竹取飞翔 ～ Lunatic Princess,竹取飛翔 ～ Lunatic Princess,蓬莱山辉夜,22636695
TH08,东方永夜抄,Voyage1970,ヴォヤージュ1970,蓬莱山辉夜,22636689
TH08,东方永夜抄,飘上月球、不死之烟,月まで届け、不死の煙,藤原妹红,22636687
TH09,东方花映塚,春色小径 ～ Colorful Path,春色小径 ～ Colorful Path,博丽灵梦,510172
TH09,东方花映塚,Oriental Dark Flight,オリエンタルダークフライト,雾雨魔理沙,510174
TH09,东方花映塚,Flowering Night,フラワリングナイト,十六夜咲夜,510177
TH09,东方花映塚,东方妖妖梦 ～ Ancient Temple,東方妖々夢 ～ Ancient Temple,魂魄妖梦,510179
TH09,东方花映塚,狂气之瞳 ～ Invisible Full Moon,狂気の瞳 ～ Invisible Full Moon,铃仙·优昙华院·因幡,510182
TH09,东方花映塚,活泼纯情小姑娘的冒险,おてんば恋娘の冒険,琪露诺,510185
TH09,东方花映塚,幽灵乐团 ～ Phantom Ensemble,幽霊楽団 ～ Phantom Ensemble,普莉兹姆利巴三姐妹,510188
TH09,东方花映塚,已经只能听见歌声了 ～ Flower Mix,もう歌しか聞こえない ～ Flower Mix,米斯蒂娅·萝蕾拉,510192
TH09,东方花映塚,宇佐大人的白旗,お宇佐さまの素い幡,因幡帝,510196
TH09,东方花映塚,风神少女(Short Version),風神少女 (Short Version),射命丸文,510200
TH09,东方花映塚,剧毒身体 ～ Forsaken Doll,ポイズンボディ ～ Forsaken Doll,梅蒂欣·梅兰可莉,510204
TH09,东方花映塚,今昔幻想乡 ～ Flower Land,今昔幻想郷 ～ Flower Land,风见幽香,510208
TH09,东方花映塚,第六十年的东方审判　～ Fate of Sixty Years,六十年目の東方裁判　～ Fate of Sixty Years,四季映姬,510216
TH09,东方花映塚,彼岸归航 ～ Riverside View,彼岸帰航 ～ Riverside View,小野塚小町,510212
TH10,东方风神录,眷爱众生之神 ～ Romantic Fall,人恋し神様 ～ Romantic Fall,秋静叶,22636639
TH10,东方风神录,会受稻田姬的斥责啦,稲田姫様に叱られるから,秋穣子,22636649
TH10,东方风神录,命运的阴暗面,運命のダークサイド,键山雏,22636644
TH10,东方风神录,芥川龙之介的河童 ～ Candid Friend,芥川龍之介の河童 ～ Candid Friend,河城荷取,22636653
TH10,东方风神录,Fall of Fall ～ 秋意渐浓之瀑,フォールオブフォール ～ 秋めく滝,犬走椛,22636645
TH10,东方风神录,妖怪之山 ～ Mysterious Mountain,妖怪の山 ～ Mysterious Mountain,射命丸文,22636647
TH10,东方风神录,信仰是为了虚幻之人,信仰は儚き人間の為に,东风谷早苗,22636655
TH10,东方风神录,神圣庄严的古战场 ～ Suwa Foughten Field,神さびた古戦場 ～ Suwa Foughten Field,八坂神奈子,22636651
TH10,东方风神录,明日之盛，昨日之俗,明日ハレの日、ケの昨日,洩矢诹访子,22636646
TH10,东方风神录,Native Faith,ネイティブフェイス,洩矢诹访子,22636656
TH10.5,东方绯想天,黑海中的绯红 ～ Legendary Fish,黒い海に紅く　～ Legendary Fish,永江衣玖,22765926
TH10.5,东方绯想天,有顶天变 ～ Wonderful Heaven,有頂天変　～ Wonderful Heaven,比那名居天子,22765920
TH11,东方地灵殿,昏暗的风穴,暗闇の風穴,琪斯美,22636622
TH11,东方地灵殿,被封印的妖怪 ～ Lost Place,封じられた妖怪 ～ Lost Place,黑谷山女,22636624
TH11,东方地灵殿,绿眼的嫉妒,緑眼のジェラシー,水桥帕露西,22636633
TH11,东方地灵殿,大江山的花之酒宴,華のさかづき大江山,星熊勇仪,22636627
TH11,东方地灵殿,少女觉 ～ 3rd eye,少女さとり ～ 3rd eye,古明地觉,22636636
TH11,东方地灵殿,尸体旅行 ～ Be of good cheer!,死体旅行~ Be of good cheer!,火焰猫燐,22636631
TH11,东方地灵殿,灵知的太阳信仰 ～ Nuclear Fusion,霊知の太陽信仰 ～ Nuclear Fusion,灵乌路空,22636637
TH11,东方地灵殿,哈德曼的妖怪少女,ハルトマンの妖怪少女,古明地恋,22636634
TH12,东方星莲船,小小的贤将,小さな小さな賢将,娜兹玲,22636613
TH12,东方星莲船,请注意万年备用伞,万年置き傘にご注意を,多多良小伞,22636608
TH12,东方星莲船,守旧老爹与前卫少女,時代親父とハイカラ少女,云居一轮&云山,22636617
TH12,东方星莲船,Captain Murasa,キャプテン・ムラサ,村纱水蜜,22636611
TH12,东方星莲船,虎纹的毘沙门天,虎柄の毘沙門天,寅丸星,22636619
TH12,东方星莲船,感情的摩天楼 ～ Cosmic Mind,感情の摩天楼 ～ Cosmic Mind,圣白莲,22636615
TH12,东方星莲船,平安时代的外星人,平安のエイリアン,封兽鵺,22636620
TH13,东方神灵庙,Ghost Lead,ゴーストリード,西行寺幽幽子,509005
TH13,东方神灵庙,门前的妖怪小姑娘,門前の妖怪小娘,幽谷响子,509011
TH13,东方神灵庙,Rigid Paradise,リジッドパラダイス,宫古芳香,509019
TH13,东方神灵庙,古老的元神,古きユアンシェン,霍青娥,509030
TH13,东方神灵庙,梦殿大祀庙,夢殿大祀廟,苏我屠自古,509034
TH13,东方神灵庙,大神神话传,大神神話伝,物部布都,509040
TH13,东方神灵庙,圣德传说 ～ True Administrator,聖徳伝説 ～ True Administrator,丰聪耳神子,509047
TH13,东方神灵庙,佐渡的二岩,佐渡の二ッ岩,二岩猯藏,509053
TH14,东方辉针城,秘境的人鱼,秘境のマーメイド,若鹭姬,28219110
TH14,东方辉针城,柳树下的杜拉罕,柳の下のデュラハン,赤蛮奇,28219112
TH14,东方辉针城,孤独的狼人,孤独なウェアウルフ,今泉影狼,28219114
TH14,东方辉针城,幻想净琉璃,幻想浄瑠璃,九十九弁弁&九十九八桥,28219116
TH14,东方辉针城,Reverse Ideology,リバースイデオロギー,鬼人正邪,28219118
TH14,东方辉针城,辉光之针的小人族 ～ Little Princess,輝く針の小人族 ～ Little Princess,少名针妙丸,28219120
TH14,东方辉针城,原初的节拍 ～ Pristine Beat,始原のビート ～ Pristine Beat,堀川雷鼓,28219122
TH15,东方绀珠传,兔已着陆,兎は舞い降りた,清兰,33991784
TH15,东方绀珠传,九月的南瓜,九月のパンプキン,铃瑚,33991807
TH15,东方绀珠传,永远的春梦,永遠の春夢,哆来咪·苏伊特,33991810
TH15,东方绀珠传,逆转的命运之轮,逆転するホイールオブフォーチュン,稀神探女,33991812
TH15,东方绀珠传,星条旗的小丑,星条旗のピエロ,克劳恩皮丝,34003789
TH15,东方绀珠传,Pure Furies ～ 心之所在,ピュアヒューリーズ ～ 心の在処,纯狐,34003791
TH15,东方绀珠传,Pandemonic Planet,パンデモニックプラネット,赫卡提亚·拉碧斯拉祖利,34003794
TH16,东方天空璋,盛夏的妖精梦,真夏の妖精の夢,爱塔妮缇·拉尔瓦,477215246
TH16,东方天空璋,深山的遭遇,山奥のエンカウンター,坂田合欢,477215248
TH16,东方天空璋,一对的神兽,一対の神獣,高丽野阿吽,477215250
TH16,东方天空璋,魔法的笠地藏,魔法の笠地蔵,矢田寺成美,497463990
TH16,东方天空璋,Crazy Back Dancers,クレイジーバックダンサーズ,丁礼田舞&尔子田里乃,497463992
TH16,东方天空璋,被秘匿的四个季节,秘匿されたフォーシーズンズ,摩多罗隐岐奈,497463994
TH16,东方天空璋,秘神摩多罗 ～ Hidden Star in All Seasons.,秘神マターラ ~ Hidden Star in All Seasons,摩多罗隐岐奈,497463996
TH17,东方鬼形兽,Jelly Stone,ジェリーストーン,戎璎花,1381562764
TH17,东方鬼形兽,石之婴儿与水中牛,石の赤子と水中の牛,牛崎润美,1381564337
TH17,东方鬼形兽,Seraphic Chicken,セラフィックチキン,庭渡久侘歌,1381562765
TH17,东方鬼形兽,Tortoise Dragon ～ 幸运与不幸,トータスドラゴン ～ 幸運と不運,吉吊八千慧,1384324154
TH17,东方鬼形兽,陶瓷的杖刀人,セラミックスの杖刀人,杖刀偶磨弓,1384324156
TH17,东方鬼形兽,寄世界于偶像 ～ Idoratrize World,偶像に世界を委ねて ～ Idoratrize World,埴安神袿姬,1384318412
TH17,东方鬼形兽,圣德太子的天马 ～ Dark Pegasus,聖徳太子のペガサス ～ Dark Pegasus,骊驹早鬼,1384324244
TH12.5,东方文花帖DS,Newshound,ニュースハウンド,姬海棠果,29715584
TH12.5,东方文花帖DS,你所在之城的怪事,あなたの町の怪事件,姬海棠果,29715585
TH12.5,东方文花帖DS,现代妖怪殖民地,妖怪モダンコロニー,姬海棠果,29715586
TH12.5,东方文花帖DS,复仇女神的要塞,ネメシスの要塞,姬海棠果,29715587
TH12.5,东方文花帖DS,无间之钟　～ Infinite Nightmare,無間の鐘　～ Infinite Nightmare,姬海棠果,29715588
TH12.5,东方文花帖DS,妖怪之山　～ Mysterious Mountain,妖怪の山　～ Mysterious Mountain,射命丸文,29715589
